id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 9
dcf55dc0-fb8b-4098-a327-318823087f36,IRWIN,2023-01-07 13:30,"RRU, TEMECULA PY / LA PAZ ST IC Riverside",RVC,LOCAL,Riverside,6,"33.4768088520157, -117.133009952517",,,,
79216e4d-6bd9-4fbd-8c80-33b197ec6529,IRWIN,2023-01-07 15:33,"RRU, RAMSEY RD / TERWILLIGER RD IC Riverside",RRU,STATE,Riverside,6,"33.4847938798414, -116.634101866387",,,,
b7b7266b-82d8-45b7-8489-e7bde75a0c33,IRWIN,2023-01-07 15:35,"RRU, W RAMSEY ST /N 8TH ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9254259178518, -116.885455944792",,,,
0119a6d7-5e24-4f58-a9f4-d3af43de36ab,IRWIN,2023-01-07 17:26,"RRU, RIVERVIEW DR / RIO RD IC Riverside",RVC,LOCAL,Riverside,6,"33.9825018942501, -117.425604042726",Fusion Center Instruction,Sierra,,
d6ca8eb7-a167-4142-a1f8-671c3c61661c,IRWIN,2023-01-07 17:58,"RRU, MEADOW GLEN DR  IDYL IC Riverside",RRU,STATE,Riverside,6,"33.7337679039237, -116.732026902835",Fusion Center Instruction,Sierra,,
4f85e780-53cb-4840-81ee-99f79d61b0b0,IRWIN,2023-01-07 18:13,"RRU, HY 86S  / AIRPORT BL OFRP IC Riverside",RVC,LOCAL,Riverside,6,"33.6387569254754, -116.130187789472",,,,
01cc2cee-bcce-4b6d-930b-94a562afdb16,IRWIN,2023-01-07 21:10,"RRU, VARNER IC Riverside",RVC,LOCAL,Riverside,6,"33.8080049315832, -116.388189848348",,,,
c85eee96-8544-491b-9240-982edafdca29,IRWIN,2023-01-08 04:44,"RRU, EVANS RD / CRAIG AV IC Riverside",RVC,LOCAL,Riverside,6,"33.6632918702045, -117.197404978089",,,,
e07a2f1d-a60c-4bb8-ba23-3810edabad1f,IRWIN,2023-01-08 06:55,"RRU, MAGNOLIA AV / WINDSONG ST IC Riverside",RVC,LOCAL,Riverside,6,"33.8803888775336, -117.516558050099",,,,
ce01c77a-7bb1-4eb2-856b-5d8dd6297830,IRWIN,2023-01-08 08:36,"RRU, SKYLARK DR / PALOMAR ST IC Riverside",RVC,LOCAL,Riverside,6,"33.624684859621, -117.309319994347",,,,
1383091549,PulsePoint,2023-01-08 09:33,"LAC, W AVENUE L & N 45TH ST W, QUARTZ HILL",LAC,LOCAL,Los Angeles,1,"34.66015, -118.21018999999998",,,,
775922c2-e634-440d-a6c9-4dd6ed5d560e,IRWIN,2023-01-08 11:01,"RRU, SAN TIMOTEO CANYON RD / REDLANDS BL IC Riverside",RRU,STATE,Riverside,6,"33.9926489106443, -117.153771996735",Knockdowns,Dawn,,
e265c94b-e756-42e9-8f79-0c1ef5bc112e,IRWIN,2023-01-08 13:04,"RRU, MORONGO RD  BAN IC Riverside",RRU,STATE,Riverside,6,"33.9470149232395, -116.833831937532",Fusion Center Instruction,Dawn,pass,
2d3b6586-021d-4f70-9749-027fe501cd5c,IRWIN,2023-01-08 13:14,"RRU, SUNNYMEAD IC Riverside",RVC,LOCAL,Riverside,6,"33.939096900422, -117.226484004976",Knockdowns,Dawn,,
1383251144,PulsePoint,2023-01-08 13:47,"LAC, E AVENUE Q & 110TH ST E, LITTLEROCK",LAC,LOCAL,Los Angeles,1,"34.58731, -117.9339",Unable to locate (UTL),Dawn,,
b63ad79b-2394-45e3-a947-78bf9f6be765,IRWIN,2023-01-08 15:50,"RRU, REDONDO NORTE   COAC IC Riverside",RVC,LOCAL,Riverside,6,"33.6878579279428, -116.193142804451",,,,
fe513a98-d015-4d04-9b78-38f7009311b2,IRWIN,2023-01-08 15:56,"RRU, PIERCE IC Riverside",RVC,LOCAL,Riverside,6,"33.539984914519, -116.112902778777",,,,
1e0b2904-03c6-416a-a772-893f593e6bf7,IRWIN,2023-01-08 17:31,"RRU, HY 74  E/ SCENIC DR IC Riverside",RVC,,Riverside,6,"33.5841619020872, -116.440971840148",,,,
