id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1760517621,PulsePoint,2024-02-27 20:55,"LAC, 324 E PALMDALE BLVD, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.579775001542345, -118.12334499981502",,,,,,,,,
c14b274d-0f10-4398-b072-7545d6c2eea8,IRWIN,2024-02-27 21:44,"RVC, PERRIS BL / SUNNYMEAD BL IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9390979004333, -117.226283004941",,,,,,,,,
1760779839,PulsePoint,2024-02-28 06:05,"LAC, 133 W LOMITA BLVD, CARSON",LAC,LOCAL,Los Angeles,1.0,"33.79845500089111, -118.27687000008235",,,,,,,,,
110e418d-efa1-43fe-bcd2-81f33288194e,IRWIN,2024-02-28 08:41,"RVC, CABAZON IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9143509232779, -116.764696922855",Nothing on cameras,Dawn,,,,,,,
g18-2024-02-28T16:50:29+00:00,GOES,2024-02-28 08:50,"Processed, Kern County, 28 MW",SQF,FEDERAL,Kern,5.0,"35.7237, -118.4181",Agriculture / farm,Dawn,,,,,,,
1760939310,PulsePoint,2024-02-28 09:37,"LAC, N TOWNE AVE & N SAN ANTONIO AVE, POMONA",LAC,LOCAL,Los Angeles,1.0,"34.08816, -117.73673999999998",Urban,Dawn,,,,,,,
bf534818-a871-45e4-b51b-d3cc4a68b781,IRWIN,2024-02-28 10:29,"BLY, SEELEY AV / INTAKE BL IC Riverside",BLY,LOCAL,Riverside,6.0,"33.588982003488, -114.570346503424",Agriculture / farm,Dawn,,,,,,,
6a75256a-b8ca-47ce-b972-71536ed0338e,IRWIN,2024-02-28 11:13,"RVC, COLLIER AV / RIVERSIDE DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.695062865721, -117.346210006197",Urban,Dawn,,,,,,,
c58511bf-8bb3-4217-a658-e16a735414b6,IRWIN,2024-02-28 11:44,"LNU, WALLACE CREEK RD  HEALDSBURG IC Sonoma",LNU,STATE,Sonoma,2.0,"38.6007399725791, -122.924426389301",Knockdowns,Dawn,,,,,,,
1761236609,PulsePoint,2024-02-28 14:43,"LAC, CANYON PARK BLVD & JASON DR, SANTA CLARITA",LAC,LOCAL,Los Angeles,1.0,"34.40782, -118.45372000000002",Urban,Dawn,,,,,,,
1761245253,PulsePoint,2024-02-28 14:48,"LAC, SAND CANYON RD & 14 FWY, SANTA CLARITA",LAC,LOCAL,Los Angeles,1.0,"34.42432, -118.42362",Urban,Dawn,,,,,,,
e77415ca-b3e5-46bc-8959-07871ffa9e4d,IRWIN,2024-02-28 16:16,"RVC, CHERRY AV  BEAU IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9654129181082, -116.964109961678",Urban,Dawn,,,,,,,
1761417410,PulsePoint,2024-02-28 17:52,"LAC, FERNWOOD AVE & GERTRUDE DR, LYNWOOD",LAC,LOCAL,Los Angeles,1.0,"33.92041999999999, -118.19811000000001",Urban,Jen,,,,,,,
1761422232,PulsePoint,2024-02-28 18:00,"LAC, N 100TH ST E & E AVENUE J, LANCASTER",LAC,LOCAL,Los Angeles,1.0,"34.69001, -117.95185000000001",Agriculture / farm,Jen,,,,,,,
1761451034,PulsePoint,2024-02-28 18:29,"LAC, SOTO ST & MILES AVE, HUNTINGTON PARK",LAC,LOCAL,Los Angeles,1.0,"33.98916, -118.21925000000002",Urban,Jen,,,,,,,
1761451034,PulsePoint,2024-02-28 18:29,"LAC, SOTO ST & E SLAUSON AVE, HUNTINGTON PARK",LAC,LOCAL,Los Angeles,1.0,"33.98916, -118.21925000000002",Urban,Jen,,,,,,,
1761612091,PulsePoint,2024-02-28 22:00,"LAC, S ATLANTIC BLVD & 710 FWY, COMMERCE",LAC,LOCAL,Los Angeles,1.0,"33.988260000000004, -118.17064000000002",,,,,,,,,
1761707669,PulsePoint,2024-02-29 01:31,"LAC, S LONG BEACH BLVD & 105 FWY, LYNWOOD",LAC,LOCAL,Los Angeles,1.0,"33.92319, -118.20975999999999",,,,,,,,,
1761769051,PulsePoint,2024-02-29 04:28,"LAC, DOWNEY AVE & 91 FWY, BELLFLOWER",LAC,LOCAL,Los Angeles,1.0,"33.8767, -118.1513",,,,,,,,,
fa011b06-2b5b-423c-8aad-215967255b3a,IRWIN,2024-02-29 04:46,"RRU, GRANITE HILL DR / PEDLEY RD IC Riverside",RRU,LOCAL,Riverside,6.0,"34.0206868954956, -117.480819055283",,,,,,,,,
1761917072,PulsePoint,2024-02-29 08:15,"LFD, 460 EB 210 FWY, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.274703, -118.38033",Urban,Rawaf,,,,,,,
7961afd7-be4a-4c9d-ae51-23526428f3e1,IRWIN,2024-02-29 09:28,"CDD, VEG/BN/ 82 IC San Bernardino",CDD,FEDERAL,San Bernardino,6.0,"34.753234996468, -117.166512062589",Dirt / desert,Rawaf,"Old: ""FireDiscoveryDateTime: 2023-04-07 06:43 PDT""",,,,,,
b71f20ad-d263-4d4a-a1e1-b451fb428b03,IRWIN,2024-02-29 09:36,"RVC, AVE 70 IC Riverside",RVC,LOCAL,Riverside,6.0,"33.5399309135766, -116.130266781853",Agriculture / farm,Rawaf,,,,,,,
764755e7-c8b4-4471-b3d8-877c66a7ef56,IRWIN,2024-02-29 11:03,"RVC, AVE 52   COAC IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6708219260447, -116.190511802658",Urban,Rawaf,"Also, ag.",,,,,,
3b519073-7b46-4e86-bae7-bfa6055aa2a2,IRWIN,2024-02-29 12:52,"RVC, AVE 48  / HARRISON ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7003649300732, -116.181552803374",No potential / nowhere to go,Dawn,,,,,,,
a7fbf975-494a-4ac8-93fe-8844d6aba2e8,IRWIN,2024-02-29 14:47,"RVC, CALLE GUAYMAS   LAQ IC Riverside",RVC,LOCAL,Riverside,6.0,"33.679297921563, -116.291405821166",Urban,Dawn,old also,,,,,,
1762322949,PulsePoint,2024-02-29 15:12,"LAC, E AVENUE O & 180TH ST E, LAKE LOS ANGELES",LAC,LOCAL,Los Angeles,1.0,"34.61662, -117.80914000000001",Dirt / desert,Dawn,,,,,,,
debc072c-db8c-455d-8b5c-e321020b594b,IRWIN,2024-02-29 15:18,"RVC, AVE 44  / JACKSON ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7294549317356, -116.214865811549",Urban,Dawn,,,,,,,
1762380825,PulsePoint,2024-02-29 16:15,"LAC, S LA CIENEGA BLVD & 405 FWY, INGLEWOOD",LAC,LOCAL,Los Angeles,1.0,"33.96501, -118.37126",Urban,Dawn,,,,,,,
37d47a2a-ddfe-4366-8b0a-69b8b5b25329,IRWIN,2024-02-29 19:34,"RVC, COLLIER AV / RIVERSIDE DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.695062865721, -117.346210006197",,,,,,,,,
1762568050,PulsePoint,2024-02-29 20:01,"LFD, 12764 W NEWTON ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.301449, -118.41125",,,,,,,,,
1762568050,PulsePoint,2024-02-29 20:01,"LFD, 12800 MACLAY ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.301449, -118.41125",,,,,,,,,
1762568050,PulsePoint,2024-02-29 20:01,"LFD, 12800 MACLAY ST, Los Angeles",LFD,LOCAL,Los Angeles,1.0,"34.304547, -118.41191",,,,,,,,,
83f0c988-2964-4d35-8125-4d90cd1bfd37,IRWIN,2024-02-29 22:14,"RVC, RIVERSIDE DR / LAKE CREST DR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6737588616152, -117.3763410097",,,,,,,,,
0cab2fa0-11b1-4a47-a039-74666a96db99,IRWIN,2024-02-29 22:52,"RVC, RUSHMORE PEAK   BEAU IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9053579120845, -116.947201953924",,,,,,,,,
1762672633,PulsePoint,2024-02-29 23:01,"LAC, WB 105 AT LONG BEACH BLVD ,LNWD, LYNWOOD",LAC,LOCAL,Los Angeles,1.0,"33.92511, -118.21",,,,,,,,,
